Nº,FECHA,AUTOR,TITULO,EDITORIAL,ISBN,D,PUCCI NELIDA
428,5/19/2011,"Cherniavsky, Axel - Alcantea, Enrique",Spinoza Para principiantes," Argentina : Ed. Era Naciente, 2010 ",ISBN : 978-987-555-046-9,,
429,5/19/2011," Sinay, Sergio - Scenna, Miguel Angel",Che Guevara Para principiantes," Argentina : Ed. Era Naciente, 2005 ",ISBN : 987-9065-27-1,C,LIB. EL ATENEO
430,5/19/2011," Spencer, Llooyd - Krauze, Andrzej",Hegel Para principiantes," Argentina : Ed. Era Naciente, 2010 ",ISBN : 978-987-555-002-5,C,LIB. EL ATENEO
431,5/19/2011," McEvoy, J. P. - Zárate, Oscar",Teoría Cuántica Para principiantes," Argentina : Ed. Era Naciente, 2007 ",ISBN : 978-987-9065-56-3,C,LIB. EL ATENEO
432,5/19/2011," Garvie, Alejandro - Sanyé",Economía Desde la antigua Grecia hasta la Crisis de la globalización,Para principiantes," Argentina : Ed. Era Naciente, 2010 ; il. ; 207 p. ; 19 cm.",,
433,5/19/2011," Ali, Teriq - Evans, Phil",Trotsky Para principiantes," Argentina : Ed. Era Naciente, 2007 ",ISBN : 978-987-555-030-8,C,LIB. EL ATENEO
434,5/19/2011," Stengel, Marilen - Rey, Diego",Literatura Universal  Tomo II Movimientos y autores del siglo XX,Para principiantes," Argentina : Ed. Era Naciente, 2010 ; il. ; 364 p. ; 19 cm.",,
435,5/19/2011," Sautet, Marc - Boussignac, Patrick",Nietzsche Para principiantes," Argentina : Ed. Era Naciente, 2010 : il. 191 p. 19 cm.",ISBN : 978-987-9065-33-4,C,LIB. EL ATENEO
436,5/19/2011," Larsson, Stieg",Los hombres que no amaban a las mujeres," España : Ed. Destino, 2008 ",ISBN : 978-84-233-4321-8,C,LIB. EL ATENEO
437,5/19/2011," Larsson, Stieg",La chica que soñaba con una cerilla y un bidón de gasolina," España : Ed. Destino, 2008 ",ISBN : 978-84-233-4324-9,C,LIB. EL ATENEO
438,5/19/2011," Eco, Humberto",El cementerio de Praga," Argentina : Ed. Sudamericana, 2010 ",ISBN : 978-84-264-1868-5,C ,LIB. EL ATENEO
439,5/19/2011," Bonelli, Florencia",Indias Blancas La vuelta del ranquel," Argentina : Ed. Sudamericana, 2011 ",ISBN : 978-987-566-423-4,C,LIB. EL ATENEO
440,5/19/2011," Bonelli, Florencia",Indias Blancas," Argentina : Ed. Sudamericana, 2011 ",ISBN : 978-987-566-422-7,C,LIB. EL ATENEO
441,5/19/2011," Mandela, Nelson",Conversaciones conmigo mismo," Argentina : Ed. Planeta, 2011 ",ISBN : 978-950-49-2469-2,C,LIB. EL ATENEO
442,5/19/2011," Randazzo, Florencio",Mejor que decir," Argentina : Ed. Planeta, 2011 ",ISBN : 978-950-49-2634-4,C,LIB. EL ATENEO
443,5/19/2011," Bonasso, Miguel",Diario de un clandestino,"Argentina : Ed. Planeta, 2011 ",ISBN : 978-950-49-2435-7,C,LIB. EL ATENEO
444,5/19/2011," Solá, María Delia",Aborígenes Argentinos," Argentina : Ed. Gradifco, 2009 : il. ",ISBN : 978-987-571-058-0,C,LIB. EL ATENEO
445,5/19/2011," Marx, Karl",El capital Pensadores universales," Argentina : Ed. Gradifco, 2008 ",ISBN : 978-987-1093-53-3,C,LIB. EL ATENEO
446,5/19/2011," Ingenieros, José",El hombre mediocre Pensadore universales," Argentina : Ed. Gradifco, 2007 ",ISBN : 978-987-1093-19-9,C,LIB. EL ETENEO
447,5/19/2011," Hosseini, Khaled",Cometas en el cielo,"España : Ed. Salamandra, 2003 ",ISBN : 978-84-938-088-0,C,LIB. EL ATENEO
448,5/19/2011," Smith, Wilbur",Tiempo de morir," Argentina .: Ed. Booket, 2006 ",ISBN : 987-580-081-3,C,LIB. EL ATENEO
