Nº,Autor,Título,Editorial,ISBN
1131," Maldonado Helbusch, Gustavo",Napoleón Bonaparte," Argentina  Ed. Alfaguara, 2013 ; il. ; 135 p. ; 22 cm.",ISBN : 978-987-04-2961-6
1132," Galeano, Eduardo",La canción de nosotros," Argentina : Ed. Siglo Veintiuno, 2013 ; 196 p. ; 20 cm.",ISBN : 978-987-629-318-1
1133," Fontanarrosa, Roberto",Te digo más y otros cuentos," Argentina : Ed. Planeta, 2013 ; 299 p. ; 20 cm.",ISVB : 978-950-49-3671-2
1134," Fontanarrosa, Roberto",El mayor de mis defectos y otros cuentos," Argentina : Ed. Planeta, 2013 ; 276 p. ; 20 cm.",ISBN : 978-950-49-3675-6
1135," Fontanarrosa, Roberto",Nada del otro mundo," Argentina : Ed. Plante, 2013 ; 260 p. ; 20 cm.",ISBN : 978-950-49-3672-5
1136," Fontanarrosa, Roberto","""La gansada"" Novela"," Argentina : Ed. Planeta, 2013 ; 313 p. ; 20 cm.",ISBN :978-950-49-3668-8
1137," Fontanarrosa, Roberto",Una lección de vida y otros cuentos," Argentina : Ed. Planeta, 2013 ; 319 p. ; 20 cm.",ISBN : 978-950-49-3676-3
1138," Allende, Isabel",Afrodita," Argentina : Ed. Sudamerica, 2014 ; il, ; 323 p. ; 18 cm.",ISBN : 978-950-07-4455-3
1139," Allende, Isabel",La suma de los días," Argentina : Ed. Sudamericana, 2014 ; 363 p. ; 18 cm.",ISBN : 978-950-07-4454-6
1140," Allende, Isabel",El bosque de los pigmeoas," Argentina : Ed. Sudamericana, 2013 ; 220 p. ; 18 cm.",ISBN : 978-950-07-4459-9
1141," Allende, Isabel",El reino del dragón de oro," Argentina : Ed. Sudamericana, 2013 ; 325 p. ; 18 cm.",ISBN : 978-950-07-4452-2
1142," Motta, Sandra",Isaac Newton," Argentina : Ed. Alfaguara, 2014 ; il. ; 136 p. ; 22 cm.",ISBN : 978-987-04-2964-7
1143," Musa, Marcelo Néstor",Carlomagno," Argentina : Ed. Alfaguara, 2014; il. ; 137 p. ; 22 cm.",ISBN : 978-987-04-2963-0
1144," Diana, Paris",Juana de Arco," Argentina : Ed. Alfaguara, 2014 ; il. ; 136 p. ; 22 cm.",ISBN : 978-987-04-2963-3
1145," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 01-02," Argentina : Ed. Planeta, 2014 ; il. ; 28 p. ; 14 cm.",ISBN : 978-950-49-3797-5
1146," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 03-04," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-493796-2
1147," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 05-06," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-49-3799-9
1148," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 07-08," Argentina : Ed. Planeta, 2014 ; il, 240 p. ; 14 cm.",ISBN : 978-950-49-3800-2
1149," Fontanarrosa, Roberto",Inodoro Pereyra el renegao 09-10," Argentina : Ed. Planta, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-49-3801-9
1150," Fontanarrosa, Roberto",Inodoro Pereyra el renegao 11-12," Argentina ; ed. Plante, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-49-3802-6
1151," Fontanarrosa, Roberto",Los trenes matan a los autos y otros cuentos," Argenbtina : Ed. Planteta, 2013  ; 124 p. ; 20 cm. ",ISBN : 978-950-49-3678-7
1152," Fontanarrosa, Roberto",Uno munca sabe y otros cuentos," Argentina : Ed. Plante, 2013 ; 348 p. ; 20 cm.",ISBN : 978-950-49-3694-9
1153," Fontanarrosa, Roberto",Puro fútbol Todos sus cuentos de fútbol," Argentina : Ed. Planta, 2013 ; 217 p. ; 20 cm.",ISBN : 978-950-49-3677-0
1154," Fontanarrosa, Roberto",El mundo ha vivido equivocado y otros cuentos," Argentina : Ed. Planeta, 2013 ; 260 p. ; 20 cm.",ISBN : 978-950-49-3669-5
1155," Fontanarrosa, Roberto",La mesa de los galanes y otros cuentos," Argentina : Ed. Planeta,2013 ; 299 p. ; 20 cm.",ISBN : 978-950-49-366-4
1156," Roberts, Nora",Colinas negras," Argentina : Ed. Sudamericana, 2014 ; 509 p. ; 18 cm.",ISBN : 978-950-07-4629-8
1157," Roberts, Nora",Album de boda," Argentina : Ed. Sudamericana, 2014 ; 351 p. ; 18 cm. ",ISBN : 978-950-07-4628-1
1158," Roberts, Nora",Rosas sin espinas," Argentina : Ed. Sudamericana, 2014 ; 366 p. ; 18 cm.",ISBN : 978-950-07-4630-4
1159," Roberts, Nora",La esperanza perfecta," Argentina : Ed. Sudamericana, 2014 ; 367 p. ; 18 cm.",nan
1160," Roberts, Nora",Para siempre," Argentina : Ed. Sudamericana, 2014 ; 361 p. ; 18 cm.",ISBN : 978-950-07-4638-0
1161," Roberts, Nora",A medianoche," Argentina : Ed. Sudamericana, 2014 ; 367 p. ; 18 cm.",ISBN : 978-950-07-4639-7
1162," Roberts, Nora",nan,"  Argentina : Ed. Sudamericana, 2014",ISBN : 
1163," Roberts, Nora",Llamaradas," Argentina : Ed. Sudamericana, 2014 ; 506 p. ; 18 cm.",ISBN : 978-950-07-4637-3
1164," Roberts, Nora",nan," Argentina : Ed. Sudemaricana, 2014",ISBN : 
1165," Roberts, Nora",Emboscada," Argentina : Ed. Sudamericana, 2014 ; 625 p. ; 18 cm.",ISBN : 978-950-07-4635-9
1166," Roberts, Nora",Sabor a ti," Argentina : Ed. Sudamericana, 2014 ; 367 p. ; 18 cm.",ISBN : 978-950-07-4632-8
1167," Roberts, Nora",Admiración," Argentina : Ed. Sudamericana, 2014 ; 519 p. ; 18 cm.",ISBN : 978-950-07-4633-5
1168," Allende, Isabel",Amor," Argentina : Ed. Sudamericana, 2014 ; 231 p. ; 18 cm.",ISBN : 978-950-07-4458-4
1169," Valdetarro, Teresita",Sigmund Freud," Argentina : Ed. Alfaguara, 2013 ; il. ; 135 p. ; 22 cm.",ISBN : 978-987-04-2976-0
1170," Lesser, Ricardo",Karl Mark," Argentina : Ed. Alfaguara, 2104 ; il. ; 125 p. ; 22 cm.",ISBN : 978-987-04-2999-9
1171," Morilla, Cristian",Entre Ríos: belleza y encanto de una provincia verde," Argentina : Ed. Cristian Morilla, 2013 ; il. ; 336 p. ; 30 cm.", ISBN : 978-987-33-4176-2
1172,"Kate, Lauren",Oscuros ," Argentina : Ed. Sudamericana, 2013 ; 413 p. ; 18 cm.",ISBN : 978-950-07-4606-9
1173," Kate, Luaren",Oscuros El poder de las sombras," Argentina : Ed. Sudamericana, 2014 ; 428 p. ; 18 cm.",ISBN : 978-950-07-4607-6
1174," Kate, Lauren",Oscuros La trampa del amor," Argentina : Ed. Sudamericana, 2014 ; 376 p. ; 18 cm.",ISBN : 978-950-07-4608-3
1175," Kate, Lauren",Oscuros La primera maldición," Argentina : Ed. Sudamericana, 2014 ; 388 p. ; 18 cm.",ISBN : 978-950-07-4610-6
1176," Alyson, Noel",Destino," Argentina : Ed. Sudamericana, 2014 ; 363 p. ; 18 cm.",ISBN : 978-950-07-4605-2
1177," Alyson, Noel",Tinieblas," Argentina : Ed. Sudamericana, 2013 ; 398 p. ; 18 cm.",ISBN : 978-950-07-4602-1
1178," Alyson, Noel",Espejismos," Argentina : Ed. Sudamericana, 2013 ; 363 p. ; 18 cm.",ISBN : 978-950-07-4601-4
1179," Alyson, Noel",Tentación," Argentina : Ed. Sudamericana, 2014 ; 345 p. ; 18 cm.",ISBN : 978-950-07-4603-8
1180," Alyson, Noel",Desafío," Argentina : Ed. Sudamericana, 2014 ; 331 p. ; 18 cm.",ISBN : 978-950-07-4604-5
1181," Alyson, Noel",Eternidad," Argentina : Ed. Sudemaricana, 2013 ; 373 p. ; 18 cm.",ISBN : 978-950-07-4600-7
1182," Kate, Lauren",La eternidad y un dia," Argentina : Ed. Sudamericana, 2014 ; 176 p. ; 18 cm.",ISBN : 978-950-07-4609-0
1183," Gray, Claudia", Adicción," Argentina : Ed. Sudamericana, 2013 ; 343 p. ; 18 cm.",ISBN :978-950-07-4596-3
1184," Gray, Claudia",Despedida," Argentina : Ed. Sudamericana, 2013 ; 334 p. ; 18 cm.",ISBN : 978-950-07-4597-0
1185," Grey, Claudia",Renacer," Argentina : Ed. Sudamericana, 2013 ; 380 p. ; 18 cm.",ISBN : 978-950-07-4598-7
1186," Grey, Claudia",Balthazar," Argentina : Ed. Sudemaricana, 2013 ; 364 p. ; 18 cm.",ISBN : 978-950-07-4599-4
1187," Gray, Claudia",Medianoche," Argentina : Ed. Sudamericana, 2013 ; 359 p. ; 18 cm.",ISBN : 978-950-4595-6
1188," Vladimir Diaconu, Alina",Buda," Argentina : Ed. Alfaguara, 2014 ; il. ; 134 p. ; 22 cm. ",ISBN : 978-987-04-2967-8
1189," Fontanarrosa, Roberto",Inodoro Pereyra 15-16," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ;  15 cm.",ISBN : 978-950-49-3804-0
1190," Fontanarrosa, Roberto",Inodoro Pereyra 13-14," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ; 15 cm.",ISBN : 978-950-49-3803-3
1191," Fontanarrosa, Roberto",Inodoro Pereyra 18-18," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ; 15 cm.",ISBN : 978-950-49-3805-7
1192," Tolkien, John Ronald Reuen",Roverandom," Argentina . Ed. Minotauro, 2014 ; il. ; 76 p. ; 20 cm.",ISBN : 978-950-547-168-3
1193," Tolkien, John Ronald Reuen",Los hijos de Hurin," Argentina : Ed. Minotauro, 2014 ; il. ; 275 p. : 20 cm.",ISBN : 978-950-547-167-6
1194," Tolkien, John Ronald Reuen",El Silmarillion," Argentina : Ed. Minotauro, 2014 ; 432 p, ; 20 cm.",ISBN : 978-950-547-166-9
1195," Roberts, Nora",Aurora Boreal," Argentina : Ed. Sudamericana, 2014 ; 495 p. ; 18 cm. ",ISBN : 978-950-07-4642-7
1196," Tolkien, John Ronald Reuen",El señor de los anillos el retorno del rey," Argentina : Ed. Minotauro,2014 ; 603 p. ; 20 cm.",ISBN : 978-950-547-164-5
1197," Roberts, Nora",Sola ante el peligro," Argentina : Ed. Sudamericana, 2014 ; 557 p. ; 18 cm.",ISBN : 978-950-07-4643-4
1198," Roberts, Nora",Jugando con fuego," Argentina : Ed. Sudamericana,2014 ; 520 p. ; 18 cm.",ISBN : 978-950-07-4641-3
1199, Nik,Los clásicos de Gaturro,D'Artagat y los tres mosqueteros ," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm."
1200, Nik,Los clásicos de Gaturro,Sandokat," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm."
1201, Nik,Los Clásicos de Gaturro,Gatock holmes," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm."
1202, Nik,Los clásicos de Gaturro,Las aventuras de gatulises," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm."
1203," Fontanarrosa, Roberto",Fontanarrosa y el fútbol Fontanarrosa de penal," Argentina : Ed. Planeta, 2014 ; il. ; 224 p. ; 14 cm.",ISBN : 978-950-49-3924-5
1204," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 23-24," Argentina : Ed. Planes, 2014 ; il. ; 224 p. ; 14 cm.",ISBN : 978-950-49-3808-8
1205," Fontanarrosa, Roberto",El sexo de Fontanarrosa el segundo sexo de Fontanarrosa," Argentina : Ed. Planeta, 2014 ; il. ; 200 p. ; 14 cm.",ISBN : 978-950-49-3925-2
1206," Fontanarrosa, Roberto",Fontanarrosa contra la cultura los clásicos según Fontanarrosa," Argentina : Ed. Planeta, 2014 ; il. ; 264 p. ; 14 cm.",ISBN : 978-950-49-3923-8
1207," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 19-20," Argentina . Ed. Planeta, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-49-3806-4
1208," Fontanarrosa, Roberto",Inodoro Pereyra el renegau 21-22," Argentina : Ed. Planeta, 2014 ; il. ; 240 p. ; 14 cm.",ISBN : 978-950-49-3807-1
1209," Rivera Quintana, Juan Carlos",Cristóbal Colón," Argentina : Ed. Alfaguara, 2014 ; il. ; 129 p. ; 22 cm.",ISBN : 978-987-04-2969-2
1210," Sosa, Ricardo Omar",Wolfgang a. Mozart," Argentina : Ed. Alfaguara, 2013 ; il. ; 131 p. ; 22 cm.",ISBN : 978-987-04-2968-5
1211," Miguens, Silvia",Marie Curie," Argentina : Ed. Alfaguara, 2013 ; il. ; 137 p. ; 22 cm.",ISBN : 978-987-04-2971-5
1212," Tolkien, John Ronald Reuen",El hobbit," Argentina : Ed. Minotauro,2014 ; 285 p. ; 20 cm.",ISBN : 978-950-547-159-1
1213," Tolkien, Jhn Ronald Reuen",Cuentos inconclusos de númeror la tierra media Parte 1," Argentia : Ed. Minotauro, 2014 ; 350 p. ; 20 cm.",ISBN : 978-950-547-173-7
1214," Tolkien, John Ronald Reuen",El señor de los anillos  II Las dos torres," Argentina . Ed. Minotauro, 2014 ; 476 p. ; 20 cm.",ISBN : 978-950-547-162-1
1215," Tolkien, John Ronald Reuen",Cuentos desde el reino peligroso II," Argentina : Ed. Minotauro, 2014 ; il. ; 324 p.20 cm.",ISBN : 978-950-547-169-0
1216," Roberts, Nora",Cita con el pasado," Argentina : Ed. Sudamericana, 2014 ; 477 p. ; 18 cm.",ISBN :978-950-07-4647-2
1217," Roberts, Nora",El secreto de una dama," Argentina : Ed. Sudamericana, 2014 ; 557 p. ; 18 cm.",ISBN : 978-950-07-4644-1
1218," Roberts, Nora",Un sueño atrevido," Argentina . Ed. Sudamericana, 2014 ; 426 p. ; 18 cm.",ISBN : 978-950-07-4645-8
1219," Roberts, Nora",El santuario," Argentina : Ed. Sudamericana,2014 ; 526 p. ; 18 cm.",ISBN : 978-950-07-4645-5
1220," Balbiano, Alejandro Jose",Charles Darwin," Argentina : Ed. Alfaguara, 2014 ; il. ; 138 p. ; 22 cm.",ISBN : 978-987-04-2975-3
1221," Roberts, Nora",Dalia azul," Argentina : Ed. Sudamericana,2014 ; 382 p. ; 18 cm.",ISBN : 978-950-07-4807-0
1222," Roberts, Nora",Lirio rojo," Argentina : Ed. Sudamericana, 2014; 363 p. ; 18 cm.",ISBN : 978-950-07-4809-4
1223," Roberts, Nora",Rosa negra," Argentina : Ed. Suidamericana, 2014 ; 383 p. ; 18 cm.",ISBN : 978-950-07-4808-7
1224," Roberts, Nora",Valle de sombras," Argentina : Ed. Sudamericana, 2014 ;  587 p. ; 18 cm.",ISBN : 978-950-07-4810-0
1225," Tolkien, John Ronald Reuen ",Cuentos inconclusos de númeror y la tierra II," Argentina : Ed.Minitauro, 2014 ; 202 p. ; 20 cm.",ISBN : 978-950-547-174-4
1226," Fontanarrosa, Robert",Fontanarrosa y la inseguridad Fontanarrosa y la política," Argentina : Ed. Planeta, 2014 ; il. ; 208 p. ; 14 cm.",ISBN : 978-950-49-3928-3
1227," Fontanarrosa, Roberto",¿Quién es Fontanarrosa?," Argentina : Ed. Planeta, 2014 ; il. ; 200 p. ; 14 cm.",ISBN : 978-950-49-3927-6
1228," Fontanarrosa, Roberto",Fontanarrosa y la pareja Fontanarrosa y los médicos," Argentina : Ed. Planes, 2014 , il. ; 208 p. ; 14 cm.",ISBN : 978-950-49-3926-9
1229, Nik,Los clásicos de Gaturro,La isla del tesoro," Argentina : Ed. Sudamericana, 2014 ; il ; 31 p. ; 24 cm."
1230, Nik,Los clásicos de Gaturro,Gaturromeo y Julieta," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm."
1231, Nik,Los clásicos de Gaturro,Gatinson Crusoe," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm.  "
1232, Nik,Los clásicos de Gaturro,Gaturrenstein," Argentina : Ed. Sudamericana, 2014 , il. ; 31 p. ; 24 cm."
1233," Echeverría, Daniela",Winston Churchill," Argentina : Ed. Alfaguara, 2013 ; il. ; 138 p. ; 22 cm.",ISBN : 978-987-04-2970-8
1234," Pérgola, Laura Andres",Martín Luther King," Argentina : Ed. Alfaguara, 2014 ; il. ; 138 p.; 22 cm.",ISBN : 978-987-04-2958-6
1235, Nik,Losclásicos de gaturro - El rey gaturro," Argentina : Ed- sudamericana, 2004 ; il. ; 31 p. ; 25 cm.",ISBN : 978-950-07-4686-1
1236, Nik,Los clásicos de gaturro - El fantasma de gaterville," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 25 cm.",ISBN : 978-950-07-4684-7
1237," Fontanarrosa, Roberto",Fontanarrosa el fútbol es sagrado," Argentina : Ed. Planeta, 2014 ; il. ; 120 p. ; 14 cm.",ISBN : 978-950-49-3929-0
1238," Roberts, Nora",La testigo," Argentina : Ed. Sudamericana, 2014 ; 508 p. ; 18 cm.",ISBN : 978-950-07-4814-8
1239," Roberts, Nora",Compartir un sueño," Argentina : Ed. Sudamericana, 2014 ; 398 p. ; 18 cm.",ISBN : 978-950-07-4811-7
1240," Roberts, Nora",En busca de un sueño," Argentina : Ed. Sudamericana, 2014 ; 399 p. ; 18 vm.",ISBN : 978-950-07-4812-4
1241," Orwell, George",Rebelión en la granja," Argentina : Ed. Cántaro, 2013 ; 156 p. ; 18 cm. ; ",ISBN : 978-950-753-253-5
1242," Lacan, Jacques",Escritos 1," Argentina : Ed. Siglo Veintiuno, 2014 ; 220 p. ; 22 cm.",ISBN : 978-987-629-393-8
1243," Foucault, Michel",Historia de la sexualidad," Argentina : Ed. Siglo Veintiuno, 2014 ; 152 p. ; 22 cm.",ISBN : 978-987-629-381-5
1244," Barthes, Roland",Fragmentos de un discurso amoroso," Argentina : Ed. Siglo Veintiuno, 2014 ; 294 p. ; 22 cm.",ISBN : 978-987-629-374-7
1245," Todorov, Tzvetan",La conquista de América," Argentina : Ed. Siglo Veintiuno, 2014 ; 319 p. ; 22 cm.",ISBN : 978-987-629-382-2
1246," Barthes, Roland",Mitologías," Argentina : Ed. Siglo Veintiuno, 2014 ; 256 p. ; 22 cm.",ISBN : 978-987-629-385-3
1247," Freire, Paulo",Cartas a quien pretende enseñar," Argentina : Ed. Siglo Veintiuno, 2014 ; 151 p. ; 22 cm.",ISBN : 978-987-629-384-6
1248," Bourdieu, Pierre - Passeron, Jean-Claude",Los herderos," Argentina : Ed. Siglo Veintiuno, 2014 ; 189 p. ; 22 cm.-",ISBN :978-987-629-383-9
1249," Foucault, Michel",Las palabras y las cosas," Argentina : Ed. Sudamericana, 2014 ; 398 p. ; 22 cm.",ISBN : 978-987-629-412-6
1250," Bourdieu, Pierre",Las estrategias de la reproducción social," Argentina : Ed. Siglo Veintiuno, 2014 ; 224p. ; 22 cm.",ISBN : 978-987-629-413-3
1251," Bourdieu, Pierre",El Sentido social del gusto," Argentina : Ed. Siglo Veintiuno, 2014 ; 282 p. ; 22 cm.",ISBN : 978-987-629-380-8
1252," Gramsci, Antonio",Atoligía Volumen 1," Argentina : Ed. Siglo Veintiuno, 2014 ; 208 p. ; 22 cm.",ISBN : 978-987-629-414-0
1253," Artundo, Patricia M., Battiti, Florencia",Xul Solar  - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3479-5
1254," Giunta, Andrea",Antonio Verni  - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3532-7
1255," Battiti, Florencia",Benito Quinquela Martín - Pintores Argentinos,"Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3478-8
1256," Stowe, Harriet Beecher",La cabaña del tío Tom,"Ecuador : Ed. Libresa, 2010 ; il. ; 62 p. ; 20 cm.",ISBN : 978-9978-49-064-8
1257,La cabaña del tío Tom,"Ecuador : Ed. Libresa, 2010 ; il. ; 62 p. ; 20 cm.",ISBN : 978-9978-49-064-8,nan
1258," Sheldon, Sidney",La conspiración del Juicio Final,nan," Argentina : Ed. Emecé, 2014 ; 332 p. ; 19 cm."
1259," Sheldon, Sidney",Más Allá de la medianoche," Argentina : Ed. Emecé, 2014 ; 382 p. ; 19 cm.",ISBN : 978-950-04-3610-6
1260,"  Sheldon, Sidney",El precio de la intriga," Argentina : Ed. Emecé, 2014 ; 478 p. ; 19 cm.",ISBN : 978-950-04-3609-0
1261," Sheldon, Sidney",Cuéntame tus sueños," Argentina : Ed. Emecé, 2014 ; 292 p. ; 19 cm.",ISBN : 978-950-04-3612-0
1262," Sabato, Ernesto",Antes del fin," Argentina . Ed. Seix Barra, 2011 ; 173 p. ; 20 cm.",ISBN : 978-950-731-686-9
1263," Sabato, Ernesto",Abaddón el exterminador parte 1," Argentina : Ed. Seix Barral, 2011 ; 216 p. ; 20 cm.",ISBN : 978-950-731-687-6
1264," Sabato, Ernesto",Abddón el ezterminador parte 2," Argentina : Ed. Seix Barral, 2011 ; 430 p. ; 20 cm. ",ISBN : 978-950-731-688-3
1265," Sabato, Ernesto",Informe sobre ciegos," Argentina : Ed. Seix Barral, 2011 ; 230 p. ; 20 cm.",ISBN : 978-950-731-691-3
1266," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,El inicio de la guerra 2," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1267," Rafols, Josep María - Riera Lluis",La Primera Guerra Mundial cumple 100 años,Los antecedentes 1," Argentina : Ed. Luppa, 2014 ; il. ; 47 p. ; 23 cm."
1268," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,La guerra en el aire 6,"Argentina : Ed. Luppa, 2014 ; il. ; 48 ; 23 cm."
1269,"  Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,La gran ofensiva 5,"Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1270,"  Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,A bayoneta calada 4," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1271," Rafols, Josep María - Riera, Lluis",La Primera Guerra Guerra Mundial cumple100 años,El frente se estabiliza 3," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1272," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,Leyendas y espías 8," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1273, Anónimo,Alí Babá y los cuarenta ladrones," Argentina : Ed. Cántaro, 2014 ; il. ; 140 p. ; 18 cm.",ISBN : 978-950-753-055-5
1274," Roberts, Nora",La casa en la playa," Argentina : Ed. Sudamericana, 2014 ; 526 p. ; 18 cm.",ISBN : 978-950-07-4815-5
1275, Nik,Los clásicos de gaturro - GatuDrácula," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm.",ISBN : 978-950-07-4690-8
1276," Sheldon, Sidney",Escrito en las estrellas," Argentina : Ed. Emecé, 2014 ; 339 p. ; 19 cm.",ISBN : 978-950-04-3613-7
1277," Sabato, Ernesto",Sobre héroes y tubas," Argentina : Ed. Seix Barral, 2011 ; 485 p. ; 20 cm. ",ISBN : 978-950-731-685-2
1278," Gramsci, Antonio",Antología  - Volumen 1," Argentina : Ed. Siglo Veintiuno, 2014 ; 208p. ; 22 cm. ",ISBN : 978-987-629-414-0
1279," Ghramsci, Antonio",Antología - Volumen 2," Argentina : Ed. Siglo Veintiuno, 2014 ; 520 p. ; 22 cm.",ISBN : 978-987-629-421-8
1280," Stacco, Alicia",Nerón," Argentina : Ed. Alfaguara, 2013 ; il. ; 134 p. ; 23 cm.",ISBN :978-987-04-2979-1
1281," Roberts, Nora",Tesoros ocultos," Argentina . Ed. Sudamericana, 2014 ; 572 p. ; 18 cm.",ISBN : 978-950-07-4813-1
1282," Roberts, Nora",Un secreto a voces," Argentina : Ed. Sudamericana, 2014 ; 602 p. ; 18 cm.",ISBN : 978-950-07-4816-2
1283," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,Malestar en el frenta,"  Argentina . Ed. Luppa,2014 ; il. ; 48 p. ; 23 cm. "
1284," Sheldon, Sidney",La arenas del tiempo," Argentina : Ed. Emecé, 2014 ; 333p. ; 19 cm.",ISBN : 978-950-04-3614-4
1285," De Rojas, Silvia Cristina",Galileo Galilei," Argentina : Ed. Alfaguara, 2016 ; il. ; 137 p. ; 23 cm.",ISBN : 978-987-04-2991-3
1286," Pacheco, Marcelo",Fernando Fader  - Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3533-4
1287, Nik,"20,000 leguas de viaje submarino - Clásicos de gaturro"," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm.",ISBN : 978-950-07-4685-4
1288," Dorfman, Ariel - Mattelart, Armand",Para leer al pato Donald Comunicación de masa y colonialismo," Argentina : Ed. Siglo Veintiuno, 2009 ; il. ; 179 p. ; 22 cm.",ISBN : 978-987-629-415-7
1289," Sheldon, Sidney","Mañana, Tarde y noche"," Argentina : Ed. Emecé, 2014 ; 270 p. ; 19 cm.",ISBN : 978-950-04-3615-1
1290," Piaget, Jean",La Psicología de la inteligencia," Argentina . Ed. Siglo Veintiuno, 2013 ; 219 p. ; 22 cm.",ISBN : 978-987-629-416-4
1291," Sabato, Ernesto",El túnel," Argentina : Ed. Seix Barral, 2011 ; 143 p. ; 20 cm.",ISBN : 978-950-731-689-0
1292," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,La revolución rusa," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm."
1293," Roberts, Nora",La fuerza de la pasión," Argentina : Ed. Sudamericana, 2014 ; 638 p. ; 18 cm.",ISBN : 978-950-07-4900-8
1294," Roberts, Nora",Atrapada," Argentina : Ed. Sudamericana, 2014 ; 286 p. ; 18 cm.",ISBN : 978-950-07-4899-5
1295, Nik,Gatarzan - los clásicos de gaturro," Argentina : Ed. Sudamericana, 2014 ; il. ; 31 p. ; 24 cm.",ISBN : 978-950-07-4689-2
1296," Rafols, Josep María - Riera, Lluis",La Primera Guerra Mundial cumple 100 años,La guerra en el mar 7," Argentina : Ed. Luppa, 2014 ; il. ; 48 p. ; 23 cm. "
1297," Rafols, Josep María - Riera, Lluis",nan,La Primera Guerras Mundial cumple 100 años,La última ofensiva
1298," Freire, Paulo",El grito manso," Argentina : Ed. Siglo Veintiuno, 2014 ; il. ; 110 p. ; 22 cm.",ISBN : 978-987-629-41-1
1299," Sabato, Ernesto",nan,La resistencia," Argentina : Ed. Seix Barral, 2011 ; 151 p. ; 20 cm."
1300, Sheldon Sidney,Si hubiera un mañana," Argentina : Ed. Emecé,2014 ; 349 ; 19 cm.",ISBN : 978-950-04-36168
1301," Hughes, María Clara",Martín Lutero," Argentina : Ed. Alfaguara, 2013 ; il. ; 22 cm.",nan
1302," Lauria, Adriana",Emilio Pettoruti -  Pintores Argentinos," Argentina : Ed. Aguilar, 2014 ; il. ; 32 p. ; 30 cm.",ISBN : 978-987-04-3585-3
1303," García Márquez, Gabriel",Crónica de una muerte anunciada," Agrentina: Ed. Sudamericana, 2014 ; 136 p. ; 18 cm.",ISBN : 978-1138-01-6
1304," Roberts, Nora",Las sombras del bosque," Argentina : Ed. Sudamericana, 2014 ; 521 p. ; 18 cm.",ISBN : 978-950-07-4901-5
1305," Sheldon, Sidney",Nada es eterno," Argentina : Ed. Emecé, 2014 ; 301 p. ; 19 cm.",ISBN : 978-950-04-3617-5
